abdas
bercakak
bercakap
bercakap-cakap
bercakar-cakaran
bercakrawala
bercalit
bercambang
bercampur
bercampur aduk
bercampur baur
bercampuran
bercamuk
bercancut
bercanda
bercangap
bercanggah
bercangkuk
bercangkung
bercantik-cantik
bercantum
bercap
bercarah
bercaran
bercarang
bercari
bercari-cari
bercari-carian
bercarik-carik
bercarut
bercarut-carut
bercat
bercatur
bercatut
bercawak
bercawat
bercawat ekor
bercebak
bercebar-cebur
bercebok
bercecah
bercedera
bercekah
bercekak
bercekak pinggang
bercekakak cekikik
bercekakakan
bercekakan
bercekcok
bercekik
bercekik merih
bercekikikan
bercekit
bercela
bercelah
bercelak
bercelana
bercelatuk
berceloteh
bercelur
bercelur minyak
bercelur tangan
bercemar
bercemar kain
bercemar kaki
bercemas
bercemburu
bercemburuan
bercemetuk
bercempera
bercencang
bercendawan
bercenduai
bercengangan
bercengkerama
bercengkih
bercengkung
bercepat-cepat
bercerai
bercerai-berai
bercerai-cerai
berceraian
bercerak
berceramah
bercerancangan
berceranggah
berceratuk
berceratukan
bercericau
bercerita
bercermin
berceroteh
bercetak
berciap-ciap
bercikun-cikun
bercinta
bercinta-cintaan
bercintakan
berciri
bercirikan
bercita-cita
berciuman
berciut-ciut
bercoang
bercoangan
bercokol
bercompang-camping
berconteng-conteng
bercorak
bercoreng
bercoreng-coreng
bercoreng-moreng
bercuatan
bercucu
bercucuran
bercuit-cuit
bercukai
bercuki
bercukur
bercuma
bercumbu
bercumbu rayu
bercumbu-cumbu
bercumbu-cumbuan
bercunduk
bercuping
bercura
bercura-bura
bercura-cura
bercuriga
bercuti
berdabung
berdabus
berdada
berdada ruah
berdada-dadaan
berdadu
berdadung
berdagang
berdaging
berdahak
berdahan
berdahanam
berdahulu-dahuluan
berdaki
berdakwa
berdakwah
berdalam-dalam
berdalih
berdalih-dalih
berdalil
berdamai
berdamar
berdambin
berdampak
berdampil
berdamping
berdampingan
berdampung-dampung
berdandan
berdangdut
berdangka
berdangkung
berdanguk
berdansa
berdansanak
berdapat
berdarah
berdarah bali
berdarah dingin
berdarah hangat
berdarah jernih
berdarah muda
berdarah panas
berdarah putih
berdarah seni
berdarmawisata
berdasar
berdasarkan
berdasi
berdatang
berdatangan
berdatuk
berdaulat
berdaun
berdawai
berdawat
berdaya
berdaya guna
berdaya upaya
berdayung
berdebar
berdebar-debar
berdebat
berdebu
berdebuk
berdebum
berdebur
berdebut
berdecak-decak
berdecap-decap
berdecit
berdecup
berdecup-decup
berdecut
berdecut-decut
berdedikasi
berdefile
berdegam
berdegap-degap
berdegar-degar
berdeging
berdegum
berdeham
berdeham-deham
berdekah-dekah
berdekak-dekak
berdekam
berdekap
berdekap tangan
berdekap tubuh
berdekap-dekapan
berdekat
berdekat-dekat
berdekatan
berdeklamasi
berdeku
berdekus
berdekut
berdelan
berdelat-delat
berdembai-dembai
berdembam
berdembun
berdembun-dembun
berdemonstrasi
berdempak
berdempang-dempang
berdempet
berdempet-dempet
berdempetan
berdempok
berdencing-dencing
berdendam
berdendam-dendaman
berdendang
berdengap
berdengar
berdenging
berdengkang-dengkang
berdengki
berdengking
berdengkung
berdengkur
berdengkus
berdengu
berdengung
berdengus
berdengut
berdengut-dengut
berdentam
berdentang
berdentang-dentang
berdenting
berdentum
berdentum-dentum
berdentuman
berdentung
berdentung-dentung
berdenyar
berdenyar-denyar
berdenyit
berdenyut
berdenyut-denyut
berdepak-depak
berdepan-depan
berderai
berderai-derai
berderak
berderak-derak
berderam
berderam-deram
berderang
berderap
berderau
berderau-derau
berderet
berderik
berderik-derik
berdering
berdering-dering
berderis
berderit
berderuk
berderum
berderung-derung
berderus-derus
berdesah
berdesain
berdesak
berdesak-desakan
berdesar
berdesau
berdesik-desik
berdesing
berdesing-desing
berdesingan
berdesir
berdesus
berdesus-desus
berdetak
berdetar
berdetas
berdetik
berdetus
berdialog
berdiam
berdiang
berdiet
berdikari
berdikit-dikit
berdiksa
berdinas
berdinding
berdingkit-dingkit
berdiplomasi
berdiri
berdiri (bertegak) lutut
berdiri tegak
berdisiplin
berdiskusi
berdoa
berdogol
berdokar
berdomisili
berdompak
berdompol
berdosa
berdosis
berdua-dua
berduaan
berduel
berduet
berduit
berduka
berdukacita
berdukun
berdukung
berduli
berdurasi
berdurhaka
berduri
berduru
berduru-duru
berdusta
berdwifungsi
bereaksi
berebab
berebana
berebes
berebes mili
berebut
berebut-rebut
berebut-rebutan
berebutan
bereda
beredar
beredel
berefraksi
beregang-regang
berehat
berekan
berekonomi
berekor
berekreasi
berekskursi
berekspansi
bereluk
beremas
berembuk
berembun
berembus
berembut-rembut
beremigrasi
berempap
berempati
berenak-enak
berenang
berenangan
berencana
berencel-encel
berenceng
berenda
berendam
berendeng
berenggil
berengkau
berengsaan
berengsel
berengut
berentang
berenteng-renteng
berentet
berentetan
berenyah
berereksi
bererot
bererotan
beresa-esaan
beresah-resah
berevakuasi
berevolusi
berfaedah
berfalsafah
berfantasi
berfatwa
berfirman
berfitrah
berfluktuasi
berfokus
berfoto
berfoya-foya
berfungsi
berfusi
bergabung
bergadai
bergadang
bergading
bergaduh
bergaduk
bergagah-gagahan
bergagap-gagap
bergagau-gagau
bergairah
bergala
bergalah
bergalang
bergalat
bergalur-galur
bergamat
bergambar
bergambuh
bergamit
bergamitan
berganda
bergandeng
bergandeng renteng
bergandeng tangan
bergandengan
berganding
bergandingan
berganduh
bergandung
berganggang
berganjak
berganjal
berganjur
berganjur-ganjur
berganjur-ganjur surut
berganti
berganti-ganti
bergantung
bergantung (ke)pada
bergantung di ujung rambut
bergantungan
bergapaian
bergarah
bergarah-garah
bergaram
bergaransi
bergarau
bergaris
bergaris bawah
bergaruk-garuk
bergasing
bergaul
bergaun
bergaung
bergaya
bergaya-gaya
bergayuh
bergayung
bergayut
bergayutan
bergeduyut
bergegar
bergegas
bergegas-gegas
bergejolak
bergelagar
bergelagaran
bergelambir
bergelandangan
bergelang-gelang
bergelanggang
bergelantung
bergelantungan
bergelap-gelap
bergelar
bergelas-gelasan
bergelayangan
bergelayutan
bergelegak
bergelegar
bergelembung
bergelemprang
bergelendot
bergelendotan
bergeleng
bergeleng-geleng
bergeleparan
bergelimang
bergelimpang
bergelimpangan
bergelimun
bergelindingan
bergelingsir
bergelombang
bergelonggong
bergelora
bergelugut
bergelundungan
bergelung
bergelut
bergema
bergemar
bergembar-gembor
bergembira
bergembira ria
bergembleng
bergembok
bergembung
bergembung dada
bergembut-gembut
bergeming
bergempa
bergenang
bergendak
bergendakan
bergendang
bergendang lutut
bergendang paha
bergendang tangan
bergengsi
bergenre
bergentar
bergentayangan
bergerak
bergerapu
bergerayangan
bergeretak
bergerilya
bergerincing
bergerobok
bergerocok
bergerombol
bergesa-gesa
bergesek
bergesel
bergeser
bergeseran
bergetah
bergetah bibirnya
bergetar
bergiat
bergigi
bergilir
bergilir-gilir
bergiliran
bergincu
bergiwang
bergizi
bergocoh
bergolak
bergolak-golak
bergolek
bergolek gelantung
bergolek-golek
bergolekan
bergoler
bergolok
bergolong-golong
bergonjong
bergontok
bergontokan
bergosip
bergosok
bergosokan
bergotong royong
bergoyah
bergoyang
bergoyang kaki
bergoyang lidah
bergoyang lutut
bergoyang pinggul
bergoyang-goyang
bergranula
berguam
berguguran
bergugus-gugus
bergula
bergulat
berguling
berguling gantang
berguling gelantang
berguling jangkar
bergulingan
bergulir
bergulung
bergulung dengan utang
bergumam
bergumpal
bergumul
berguna
berguncang
bergundu
bergunduk-gunduk
bergundul
bergunjing
bergunung-gunung
bergurah
bergurau
bergurau senda
bergurindam
berguru
berguselan
bergusti
berguyub
berhabis
berhad
berhadap-hadapan
berhadapan
berhadapan muka
berhadiah
berhadir
berhajat
berhaji
berhak
berhakim
berhal
berhala
berhalalbihalal
berhalangan
berhaluan
berhamba
berhamburan
berhamun-hamun
berhandai-handai
berhantam
berhantar
berhantaran
berhantu
berhanyut
berhanyut-hanyut
berharap
berharapan
berharapkan
berharga
berhari
berhari minggu
berhari raya
berharta
berhasil
berhasil guna
berhasrat
berhati
berhati batu
berhati berjantung
berhati berlian
berhati bimbang
berhati binatang
berhati busuk
berhati emas
berhati keras
berhati mutu
berhati pilu
berhati putih
berhati rendah
berhati sali
berhati tungau
berhati walang
berhati-hati
berhawa
berhektare-hektare
berhelai
berhelat
berhemat
berhembalang
berhenti
berhias
berhias diri
berhiaskan
berhidangan
berhidung
berhidung belang
berhidung tinggi
berhijau daun
berhikayat
berhikmah
berhilau
berhilau-hilau
berhiliran
berhimpun
berhina
berhina diri
berhindu
berhindu bersuku
berhingga
berhipotesis
berhitung
berhoki
berhormat
berhormat-hormat
berhubung
berhubungan
berhujan
berhujan-hujan
berhukum
berhulu
berhulukan
berhuma
berhuni
berhura-hura
berhuruf
beri
beri tahu
beri-memberi
beria
beria berbukan
beria-ia
beria-ria
beriak
beriak-riak
berias
beriba-iba
beribadah
beribadat
beribarat
beribu
beridentitas
berideologi
berigi-rigi
berihat
berihram
berijab
berijazah
berijmak
berijtihad
berikan
berikat
berikhtiar
beriklim
berikrar
beriktikad
berikut
berilah
berilmu
berilmu lintabung
berilmu padi
berima
beriman
berimankan
berimbang
berimbas
berimigrasi
berimpit
berimpit-impit
berimpitan
berimplikasi
berimprovisasi
berinai
berinaian
berindap-indap
berindikasi
berinduk
berinfiltrasi
berinfleksi
beringat
beringat-ingat
beringgit-ringgit
beringisan
beringsut
berinisial
berinisiatif
berinkarnasi
berinsang
berintegrasi
berinteraksi
berintik-rintik
berintrospeksi
berinvasi
berinvestasi
beripar
beripuh
berirama
beriring
beriring-iring
beriring-iringan
berisi
beristigfar
beristikharah
beristinja
beristirahat
beristri
beristrikan
beriuran
beriwayat
berjabat tangan
berjabir-jabir
berjaga
berjaga-jaga
berjagal
berjagal peraih
berjagung-jagung
berjahat
berjaipong
berjaja
berjajan
berjajar
berjalan
berjalan darat
berjalan di atas rel
berjalan kaki
berjalan mencakah
berjalan mengempar
berjalan pincang
berjalan-jalan
berjalar-jalar
berjalaran
berjalin
berjalin-jalin
berjalinan
berjalur
berjalur-jalur
berjambar
berjambul
berjampi
berjamrah
berjamu
berjamur
berjangka
berjangkit
berjangkitan
berjanjang
berjanji
berjantan
berjantang
berjantung
berjantung pisang
berjarak
berjaram
berjari-jari
berjarum
berjasa
berjasad
berjatuh
berjatuhan
berjauh
berjauh hati
berjauh-jauhan
berjauhan
berjauhan diri
berjauhan mata
berjauhan tangan
berjawab
berjawat
berjaya
berjebai
berjeda
berjegal-jegalan
berjejak
berjejal-jejal
berjela
berjela-jela
berjelaga
berjelapak
berjelapakan
berjelejehan
berjeluk
berjelum
berjemaah
berjempalitan
berjemput
berjemur
berjenaka
berjengkek-jengkek
berjengkeng
berjengkengan
berjengket
berjengkot
berjenjang
berjentera
berjerait
berjeramah
berjerambai
berjerangkang
berjerawat
berjerempak
berjerih
berjerih payah
berjermang
berjerumat
berjibaku
berjibun
berjihad
berjilid
berjilid-jilid
berjimak
berjimat
berjinak-jinak
berjingkat
berjingkat-jingkat
berjingkik
berjingkik-jingkik
berjingkrak
berjingkrak-jingkrak
berjinjang
berjinjit
berjiran
berjiwa
berjobak
berjodoh
berjogar
berjoget
berjolak
berjompak
berjompakan
berjongkok
berjongkok-jongkok
berjoran
berjotos
berjuak
berjual
berjual beli
berjualan
berjuang
berjubel
berjubel-jubel
berjudi
berjudul
berjujuh
berjujut-jujutan
berjulai
berjulai-julai
berjulat
berjulo-julo
berjumat
berjumbai
berjumbaian
berjumlah
berjumpa
berjumpalit
berjungkir
berjungkir balik
berjunjungan
berjuntai
berjuntai-juntai
berjupang
berjurai
berjurai-jurai
berjuraian
berkabar
berkabilan
berkabu-kabu
berkabung
berkabut
berkaca
berkacak
berkacak pinggang
berkacamata
berkacau
berkafan
berkain
berkain dua
berkaing-kaing
berkait
berkait-kaitan
berkaitan
berkajang
berkakak
berkakakan
berkaki
berkala
berkala-kala
berkalang
berkaliber
berkalih
berkalung
berkamar
berkambi
berkamit-kamit
berkampai
berkampaian
berkampanye
berkampuh
berkampung
berkamu
berkamuflase
berkandul
berkandung
berkandungan
berkang
berkanjar
berkanjar-kanjar
berkanji
berkantong
berkantor
berkaok-kaok
berkapak
berkapal
berkapang
berkapar
berkaparan
berkapas
berkapasitas
berkapitulasi
berkarang
berkaraoke
berkarat
berkarau
berkarib
berkarier
berkarpet
berkarung
berkarya
berkasak-kusuk
berkasidah
berkasih
berkasih-kasihan
berkata
berkata dua
berkata-kata
berkatak-katak
berkategori
berkaul
berkaum
berkaus
berkaveling
berkawal
berkawan
berkawin
berkayau
berkayu
berkayuh
berkeadilan
berkeahlian
berkeberatan
berkebetulan
berkebun
berkecai-kecai
berkecak pinggang
berkecambah
berkecamuk
berkecandan
berkecek-kecek
berkecenderungan
berkecepatan
berkeciak
berkecibakan
berkecil hati
berkecil-kecil
berkecil-kecilan
berkecimpung
berkecipak
berkecondongan
berkecuali
berkecukupan
berkecumik
berkedai
berkedal
berkedip
berkedip-kedip
berkedok
berkedudukan
berkedut
berkegiatan
berkehendak
berkeinginan
berkejai
berkejang
berkejang-kejang
berkejap
berkejap-kejap
berkejar-kejaran
berkejaran
berkeji
berkeji diri
berkejut
berkejutan
berkekalan
berkekurangan
berkeladak
berkelahi
berkelainan
berkelakar
berkelam
berkelambu
berkelamin
berkelana
berkelanjutan
berkelar
berkelar-kelar
berkelas
berkelebat
berkelebatan
berkeledar
berkelejat
berkelelot
berkelemban
berkelembapan
berkelepai
berkelepai-kelepai
berkeletah
berkeliaran
berkelibang
berkelibangan
berkelijak
berkeliling
berkelim
berkelindan
berkelintaran
berkelip
berkelip-kelip
berkelit
berkelit-kelit
berkelocak
berkelok
berkelok-kelok
berkelompok
berkelompok-kelompok
berkelong
berkelopak
berkeloyak
berkeluarga
berkeluh
berkeluh kesah
berkeluk
berkelukur
berkelukuran
berkelumun
berkelun-kelun
berkeluyuran
berkemah
berkemampuan
berkemas
berkemban
berkembang
berkembang biak
berkembang hatinya
berkembar
berkembur
berkembur-kembur
berkemeja
berkemendang
berkementam
berkemih
berkempul-kempul
berkemu
berkemudi
berkena-kenaan
berkenaan
berkenal-kenalan
berkenalan
berkenan
berkencan
berkendara
berkendaraan
berkendur-kendur
berkenduri
berkentut
berkeok-keok
berkeokan
berkepak
berkepak-kepak
berkepala
berkepala dua
berkepala tegak
berkepang
berkepentingan
berkeping-keping
berkepit
berkepit tangan
berkepuk
berkepul
berkepul-kepul
berkepung
berkeputusan
berkerabat
berkerabu
berkerah
berkerak
berkeramas
berkerang
berkeras
berkeras batang leher
berkeras-kerasan
berkeredong
berkereket
berkereta
berkereta api
berkeriapan
berkeriau
berkericau
berkericauan
berkering
berkering-kering
berkeringat
berkeringat dingin
berkeriput
berkeris
berkerisik
berkeritik-keritik
berkeriuk
berkeriut
berkeriutan
berkeroncongan
berkerotak
berkerubung
berkerudung
berkeruh
berkeruit-keruit
berkerumun
berkerunyut
berkerut
berkerut-kerut
berkeruyuk
berkesam
berkesampaian
berkesan
berkesempatan
berkesesuaian
berkeset
berkesimpulan
berkesinambungan
berkesiur
berkesiuran
berkesot
berkesudahan
berkesungguhan
berketai-ketai
berketak
berketak-ketak
berketak-ketik
berketakutan
berketam
berketap-ketap
berketap-ketip
berketar-ketar
berketentuan
berketepatan
berketetapan
berketil-ketil
berketua
berketuk
berketuk-ketak
berketul-ketul
berketur
berkewajiban
berkeyakinan
berkhalwat
berkhamir
berkhasiat
berkhayal
berkhianat
berkhidmat
berkhitan
berkhotbah
berkial
berkial-kial
berkias
berkias-kias
berkias-kiasan
berkiat
berkibar
berkibar-kibar
berkibaran
berkiblat
berkicau
berkicut
berkikikan
berkikir
berkilah
berkilah-kilah
berkilap
berkilap-kilap
berkilat
berkilat-kilat
berkilatan
berkilau
berkilau-kilauan
berkimbang-kimbang
berkincir
berkincir air
berkinerja
berkinja-kinja
berkinte
berkipas
berkipas-kipas
berkiprah
berkira-kira
berkirai
berkirim
berkirim diri
berkirim-kiriman
berkiriman
berkirung
berkisah
berkisar
berkisar angan
berkisar-kisar
berkisaran
berkisi
berkitab
berkitar
berkoak-koak
berkoalisi
berkoar
berkoar-koar
berkobar
berkobar-kobar
berkobok
berkobok-kobok
berkocak
berkocak-kocak
berkokok
berkolaborasi
berkolek-kolek
berkolokasi
berkolusi
berkomat-kamit
berkombinasi
berkomentar
berkompanyon
berkomplot
berkompromi
berkomunikasi
berkongkalikong
berkongsi
berkonsultasi
berkontak
berkontemplasi
berkontraksi
berkooperasi
berkoordinasi
berkop
berkop surat
berkopah-kopah
berkoperasi
berkoran
berkorban
berkorelasi
berkoreng
berkorespondensi
berkorong
berkostum
berkota
berkotak-kotak
berkotek
berkreasi
berkuah
berkuah air mata
berkuala
berkualifikasi
berkualitas
berkuasa
berkuat
berkuat tulang
berkuat-kuat
berkuat-kuatan
berkubah
berkubak
berkubang
berkubu
berkubur
berkucak
berkucur
berkuda
berkudis
berkudung
berkujut
berkuku
berkuku belah
berkuku satu
berkuku tunggal
berkukuh
berkukuh kata
berkukuh negeri
berkukuh pd adat lama
berkukus
berkulai
berkulaian
berkulat
berkuli
berkuliah
berkulimat
berkulit
berkulit badak
berkulup
berkumai
berkumandang
berkumis
berkumpai
berkumpul
berkumur
berkumur-kumur
berkumut
berkunang-kunang
berkunar-kunar
berkundang
berkunjung
berkunjung-kunjungan
berkupak
berkuping
berkurai
berkurang
berkurap
berkurban
berkurik-kurik
berkurung
berkusik
berkusu-kusu
berkusuk
berkusut-kusut
berkuta
berkutat
berkuteks
berkutik
berkuting-kuting
berkutu
berkutu-kutuan
berkutub
berlaba
berlabel
berlabuh
berlabun-labun
berladang
berladung
berladung air mata
berlaga
berlaga kasih
berlagak
berlagu
berlahar
berlain-lainan
berlainan
berlaju-laju
berlajur
berlaki
berlakon
berlaku
berlaku lajak
berlalai-lalai
berlalu
berlalu angan
berlalu dr dunia
berlalu jarumnya
berlalu lintas
berlambai-lambai
berlambak
berlambak-lambak
berlambang
berlambangkan
berlambat
berlampang
berlampang-lampang
berlampar
berlamparan
berlampu
berlancang
berlancing
berlandasan
berlandaskan
berlanggan
berlangganan
berlanggar-langgar
berlanggaran
berlangir
berlangkah
berlanglang
berlanglang buana
berlangsi
berlangsung
berlanjut
berlanjutan
berlantai
berlantas
berlantas angan
berlanting
berlantung
berlantung hidung
berlapak
berlapih
berlapik
berlapis
